Компанија,Наслов,Опис
Македонија осигурување АД Скопје,Нови емисии,"Почитувани акционери и други заинетресирани страни, Во согласност со Глава 6 од Правилата за котација, известуваме за следната нова емисија од страна на МАКЕДОНИЈА Осигурување  - Виена Иншуренс Груп (во понатамошен текст: Друштвото). Во согласност со Решението на Агенцијата за супервизија на осигурување за издавање дозвола за статусни промени - присоединување на ВИНЕР - Виена Иншуренс Груп АД Скопје кон Друштвото, во согласност со Решението на Агенцијата за супервизија на осигурување за издавање согласност за измена на Статутот на Друштвото, како и во согласност со Решението за давање одобрение за издавање на долгорочни хартии од вредност на Комисијата за хартии од вредност од страна на Друштвото, се изврши зголемување на основната главнина на Друштвото со издавање на 201,700 обични акции, по пат на приватна понуда од III (трета) емисија на акции. Зголемувањето на основната главнина на МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп е запишано во Централниот регистар на РСМ на ден 27.06.2024 година, а на ден 03.07.2024 година е извршен упис на акциите во Централниот депозитар за хартии од вредност АД Скопје. Со новата емисија, основната главнина на Друштвото изнесува 18,460,449.608 евра и таа е поделена на 919.162 обични акции, секоја со номинална вредност од 20,084 евра. Со почит, МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп"
Македонија осигурување АД Скопје,Предлог - одлуки за Собрание на акционери,"Почитувани акционери и други заинтересирани страни, во врска со точка 1 од работниот дел на Јавниот повик со ревидиран дневен ред за свикување на акционерско собрание бр.02-5905/2-1 од 14.06.2024 година, Ве известуваме дека Виена Иншуренс Груп (Vienna Insurance Group), како мнозински акционер на МАКЕДОНИЈА Осигурување АД - Виена Иншуренс Груп, предложи избор на членови на Надзорниот одбор. За членови на надзорниот одбор од страна на Виена Иншуренс Груп се предложени: (1) Габор Лехел, (2) Андреја Јосифовски, (3) Филип Бардас и (4) Реинхард Гојер, (5) Кристоф Ратх. Согласно член  344 став 5 од Законот за трговските друштва, Ви доставуваме и податоци за предложените членови на органот на надзор. Податоците за предложените членови на Надзорниот одбор се составен дел на оваа Објава. Срдечен поздрав, МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп"
Македонија осигурување АД Скопје,Други одлуки од собрание,"Почитувани акционери и други заинтересирани страни, во врска со акционерското собрание на Друштвото, закажано за 09.07.2024 година, во прилог на оваа објава Ви доставуваме информација за конфликт на интерес согласно член 392-а од Законот за трговските друштва. Сите прашања поврзани со оваа објава можете да ги адресирате до стручните служби на Друштвото. Со почит, МАКЕДОНИЈА Осигурување АД Скопје - Виена Иншуренс Груп"
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Известување
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Известување
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Коментар кон Билансот на успех 01.01-30.09.2024
Македонијатурист АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Македонијатурист АД Скопје-Биланс на успех пер.01.01.-30.09.2024год.
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Известување
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Известување
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Известување за промена на сопственоста
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Коментар кон неревидираните финансиски извештаи за периодот 01.01-30.06.2024  
Македонијатурист АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Македонијатурист АД Скопје - Финансиски извештаи за период 01.01 - 30.06.2024  
Македонијатурист АД Скопје,Други ценовно чувствителни информации,Известување за промена на сопственоста
Македонски Телеком АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Македонски Телеком АД Скопје го објавува неревидираниот Биланс на успех за периодот јануари - септември 2024 година.
Македонски Телеком АД Скопје,Други ценовно чувствителни информации,Македонски Телеком АД Скопје го објавува oбразложението за работењето за периодот јануари - септември 2024 година.
Македонски Телеком АД Скопје,Други ценовно чувствителни информации,Соопштение до акционерите на Македонски Телеком АД – Скопје со право на дивиденда за 2023 година.
Македонски Телеком АД Скопје,Зделка со заинтересирана страна,"Согласно член 460-г од Законот за трговски друштва, Македонски Телеком АД - Скопје известува за реализирана зделка со заинтересирана страна."
Македонски Телеком АД Скопје,Други ценовно чувствителни информации,Македонски Телеком АД Скопје го објавува oбразложението за работењето за периодот јануари - јуни 2024 година.
Македонски Телеком АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Македонски Телеком АД Скопје ги објавува неревидираните финансиски извештаи за периодот јануари - јуни 2024 година.
Макотекс АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"Согласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај: Неревидиран, неконсолидиран, Биланс на успех за период 01.01.2024-30.09.2024"
Макотекс АД Скопје,Други ценовно чувствителни информации,"Согласно Глава 6 од Правилата за котација, известуваме за следната ценовно чувствителна информацијa: Образложение кон неревидирани, неконсолидирани финансиски извештаи  за период 01.01.2023 -30.06.2024 "
Макотекс АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,"огласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај: Неревидирани финансиски извештаи 01.01.-30.06.2024 "
Макошпед АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран консолидиран биланс на успех за период 01.01.-30.09.2024
Макошпед АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за период  01.01.-30.09.2024
Макошпед АД Скопје,Други ценовно чувствителни информации,Образложение кон финансиските извештаи за период 01.01.-30.09.2024
Макошпед АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,НЕРЕВИДИРАНИ   КОНСОЛИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ ЗА ПЕРИОД 01.01. - 30.06.2024
Макошпед АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,НЕРЕВИДИРАНИ  ФИНАНСИСКИ  ИЗВЕШТАИ ЗА ПЕРИОД 01.01. - 30.06.2024
Макошпед АД Скопје,Други ценовно чувствителни информации,ОБРАЗЛОЖЕНИЕ КОН НЕРЕВИДИРАНИТЕ  ФИНАНСИСКИ И КОНСОЛИДИРАНИ ФИНАНСИСКИ ИЗВЕШТАИ ЗА ПЕРИОД 01.01. - 30.06.2024
Макпетрол АД Скопје,Други ценовно чувствителни информации,"Согласно член 33, став 1, алинеја 7 од Правилата за котација на Македонската Берза за хартии од вредност АД Скопје, известуваме дека “Макпетрол” А.Д. - Скопје, склучи Договор за набавка на нафтени деривати од ОКТА рафинерија на нафта АД Скопје на ден. 26.12.2024 година, со важност од 1.1.2025 година до 31.12.2027 година. Вредноста на Договорот ќе зависи од идните преземени количини на нафтени деривати и од цените на истите на светските берзи. Проценуваме дека вредноста на Договорот ќе изнесува повеќе од 10 (десет) проценти од капиталот на Друштвото определено врз основа на последните ревидирани годишни финансиски извештаи."
Макпетрол АД Скопје,Други ценовно чувствителни информации,"Имајќи ги во предвид залагањата на вработените за извршување на работните обврски, а по повод Новогодишните празници, „Макпетрол“ А.Д. - Скопје, објавува дека, на своите вработени им исплати новогодишен надоместок во нето износ од 30.000 денари. Грижата за вработените е значајна за успешноста на Друштвото на долг рок и истата претставува дел од корпоративната политика на „Макпетрол“ А.Д. - Скопје."
Макпетрол АД Скопје,Други ценовно чувствителни информации,"Макпетрол А.Д.  согласно член 40, точка 5 од Правилата за котација на Македонска берза за хартии од вредност, го изготви Календарот на настани во 2025 година"
Макпетрол АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Макпетрол АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
Макпетрол АД Скопје,Други ценовно чувствителни информации,.
Макпетрол АД Скопје,Други ценовно чувствителни информации,.
Макпетрол АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,.
Макпетрол АД Скопје,Други ценовно чувствителни информации,.
Макпетрол АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,.
Макпромет АД Штип,Други ценовно чувствителни информации,Образложение ко неревидиран консолидиран биланс на успех 01.01.-30.09.2024 г
Макпромет АД Штип,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран консолидиран биланс на успех 01.01-30.09.2024 г.
Макпромет АД Штип,Други ценовно чувствителни информации,Образложение кон неревидираниот биланс на успех  01.01-30.09.2024 г.
Макпромет АД Штип,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01-30.09.2024 г
Макпромет АД Штип,Други ценовно чувствителни информации,"Образложение кон неревидираните консолидирани финансиски извештаи 30,06,2024 г."
Макпромет АД Штип,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани консолидирани финансиски извештаи 30,06,2024"
Макпромет АД Штип,Други ценовно чувствителни информации,"Образложение кон неревидираните финансиски извештаи за период 01,01-30,06,2024 г"
Макпромет АД Штип,Неревидирани финансиски извештаи 01.01. - 30.06.,"Неревидирани финансиски извештаи за период 01,01-30,06,2024 г"
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации- Макстл АД
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации - Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации - Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации -Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации - Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации-Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,Образложение кон постигнатите резултати
Макстил АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01. - 30.09. Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации - Макстил АД
Макстил АД Скопје,Други ценовно чувствителни информации,
Макстил АД Скопје,Други ценовно чувствителни информации,
Макстил АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации - Макстил А.Д.
Макстил АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01. - 30.06. - Мкастил А.Д.
Макстил АД Скопје,Други ценовно чувствителни информации,
Мермерен комбинат АД Прилеп,Неревидиран биланс на успех 01.01. - 30.09.,Неревидирани финансиски извештаи 01.01. - 30.09.2024
Мермерен комбинат АД Прилеп,Други ценовно чувствителни информации,Образложение на работењето 30.06.2024
Мермерен комбинат АД Прилеп,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01. - 30.06.2024
МЗТ Пумпи АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01.-30.09.
МЗТ Пумпи АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации
МЗТ Пумпи АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01.-30.06.2024
Мода АД Свети Николе,Други ценовно чувствителни информации,Календар на настани во 2025 година
Мода АД Свети Николе,Неревидиран биланс на успех 01.01. - 30.09.,
Мода АД Свети Николе,Други ценовно чувствителни информации,Образложение на остварени резултати 01-06.2024 година.
Мода АД Свети Николе,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01.-30.06.2024 година.
Неметали Огражден АД Струмица,Други ценовно чувствителни информации,Објаснување кон консолидираниот биланс на успех 30.09.2024
Неметали Огражден АД Струмица,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран консолидиран биланс на успех 30.09.2024
Неметали Огражден АД Струмица,Други ценовно чувствителни информации,Објаснување кон  билансот на успех 31.03.2024
Неметали Огражден АД Струмица,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 30.09.2024г.
Неметали Огражден АД Струмица,Други ценовно чувствителни информации,Објаснување кон консолидираните финансиски извештаи за периодот 01.01.-30.06.2024 г.
Неметали Огражден АД Струмица,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани консолидирани финансиски извештаи 30.06.2024г.
Неметали Огражден АД Струмица,Други ценовно чувствителни информации,Објаснување кон финансискиte извештаи за периодот 01.01.-30.06.2024 г.
Неметали Огражден АД Струмица,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 30.06.2024г.
Неметали Огражден АД Струмица,Други одлуки од собрание,Одлуки собрание на акционери 26.07.24
НЛБ Банка АД Скопје,Други одлуки од собрание,НЛБ Банка АД Скопје известува дека на Собранието на акционери на Банката одржано на 29.11.2024 година се усвоија следните одлуки:
НЛБ Банка АД Скопје,Предлог - одлуки за Собрание на акционери,"Согласно објавата на Сеи Нет од 28.10.2024 година за Јавен повик за Собрание на акционери на НЛБ Банка АД Скопје, закажано за 29.11.2024 година со почеток во 12.00 часот, во просториите на НЛБ Банка АД Скопје, на ул. „Водњанска“ бр.1, 1000 Скопје, ја објавуваме содржината на предлог – одлуките од дневниот ред"
НЛБ Банка АД Скопје,Јавен повик за собрание,"Јавен повик за Собрание на акционери на НЛБ Банка закажано за 29.11.2024 година (Петок) со почеток во 12.00 часот, во просториите на НЛБ Банка АД Скопје, на ул. „Водњанска“ бр.1, Скопје"
НЛБ Банка АД Скопје,Други ценовно чувствителни информации,Коментар на неревидираните финансиски извештаи на НЛБ Банка АД Скопје за период 01.01.-30.09.2024 година.
НЛБ Банка АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,"НЛБ Банка АД ги објавува (неревидираните) неконсолидирани Биланс на успех, Биланс на состојба и Извештај за паричен тек за период 01.01.-30.09.2024 година."
НЛБ Банка АД Скопје,Други ценовно чувствителни информации,"НЛБ Банка АД Скопје, известува дека: "
НЛБ Банка АД Скопје,Измени во органи на управување,"Врз основа на член 33 од Правилата за котација на Македонска берза за хартии од вредност АД Скопје, НЛБ Банка АД Скопје известува дека на ден 10.10.2024 година, Г-дин Блаж Бродњак, поднесе оставка од функцијата Претседател на Надзорниот Одбор на НЛБ Банка АД Скопје. До добивање на согласност од Гувернерот на Народната Банка на Република Северна Македонија за именување на нов член на Надзорниот одбор на Банката, г-дин Блаж Бродњак ќе продолжи да ја извршува својата функција како Претседател на Надзорниот Одбор на Банката. "
НЛБ Банка АД Скопје,Други одлуки од собрание,НЛБ Банка АД Скопје известува дека на Собрание на акционери на Банката одржано на 05.09.2024 година се усвоија следните одлуки: 
НЛБ Банка АД Скопје,Измени во органи на управување,Ве известуваме дека на ден 03.09.2024 година Народната банка на Република Северна Македонија издаде Решение за претходна согласност со кое Г-дин Тони Стојановски е именуван за нов Претседател на Управниот Одбор на НЛБ Банка АД Скопје со мандат почнувајќи од 03.09.2024 годинa.
НЛБ Банка АД Скопје,Други ценовно чувствителни информации,"НЛБ Банка АД Скопје известува дека реализираше нова зделка со Нова Љубљанска банка д.д., Љубљана по основ на склучен Договор за субординиран заем на износ од 10 милиони ЕУР. Нова Љубљанска банка д.д., Љубљана е доминантен сопственик на НЛБ Банка АД Скопје со 86,97% учество во вкупниот број на акции на Банката. Инструментот е квалификуван како Додатен основен капитал (Tier I) на Банката."
НЛБ Банка АД Скопје,Предлог - одлуки за Собрание на акционери,"Согласно објавата на Сеи Нет од 31.07.2024 година за Јавен повик за Собрание на акционери на НЛБ Банка АД Скопје, закажано за 05.09.2024 година со почеток во 13.00 часот, во просториите на НЛБ Банка АД Скопје, на ул. „Водњанска“ бр.1, 1000 Скопје, ја објавуваме содржината на предлог – одлуките од дневниот ред "
НЛБ Банка АД Скопје,Јавен повик за собрание,"Јавен повик за Собрание на акционери на НЛБ Банка закажано за 05.09.2024 година (Четврток) со почеток во 13.00 часот, во просториите на НЛБ Банка АД Скопје, на ул. „Водњанска“ бр.1, Скопје. "
НЛБ Банка АД Скопје,Други ценовно чувствителни информации,Коментар на неревидираните финансиски извештаи на НЛБ Банка АД Скопје за период 01.01.-30.06.2024 година.
НЛБ Банка АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,НЛБ Банка АД Скопје ги објавува (неревидираните) неконсолидирани финансиски извештаи за периодот 01.01.-30.06.2024 година.
Нова стоковна куќа АД Струмица,Други ценовно чувствителни информации,Календар на настаните 2025 година
Нова стоковна куќа АД Струмица,Други одлуки од собрание,Други одлуки од собрание
Нова стоковна куќа АД Струмица,Предлог - одлуки за Собрание на акционери,Корекција на Предлог- одлуки за Собрание на акционери поради технички измени
Нова стоковна куќа АД Струмица,Предлог - одлуки за Собрание на акционери,Предлог-одлуки за Собрание на акционери
Нова стоковна куќа АД Струмица,Јавен повик за собрание,Јавен повик за собрание
Нова стоковна куќа АД Струмица,Други ценовно чувствителни информации,АД Нова Стоковна Куќа Струмица за период од месец Јануари-Септември 2024 година оствари позитивен финансиски резултат искажан во неревидираниот биланс на успех . Во овој период нема промени во сметководствените политики и методи на вреднување на позициите во финасиските извештаи за АД Нова Стоковна Куќа. За овие 9 месеци остварениот приход споредбено со истиот период 2023 година. е скоро ист и истиот е остварен од промет на клиенти кои имаат закупено деловен простор.
Нова стоковна куќа АД Струмица,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01-30.09.2024
Нова стоковна куќа АД Струмица,Други ценовно чувствителни информации,Други ценовно чувствителни информации
Нова стоковна куќа АД Струмица,Други одлуки од собрание,
Нова стоковна куќа АД Струмица,Измени во органи на управување,Одлуки за разрешување на членови на одбор на директори и Одлуки за именување нови членови на одбор на директори.
Нова стоковна куќа АД Струмица,Други одлуки од собрание,Одлука за усвојување на записник од претходната седница
Нова стоковна куќа АД Струмица,Предлог - одлуки за Собрание на акционери,Предлог  - одлуки за Собрание на акционери
Нова стоковна куќа АД Струмица,Предлог - одлуки за Собрание на акционери,Предлог - одлуки за Собрание на акционери
Нова стоковна куќа АД Струмица,Јавен повик за собрание,Јавен повик за собрание
Нова стоковна куќа АД Струмица,Други ценовно чувствителни информации,АД Нова Стоковна Куќа Струмица за периодот Јануари-Јуни 2024 година оствари позитивен финансиски резултат искажан во неревидираниот биланс на успех. Во овој период нема промени на сметководствените политики и методи на вреднување на позициите во финансиските извештаи за АД Нова Стоковна Куќа. За овие 6 месеци остварениот приход споредбен со истиот период 2023 година е скоро ист  и истиот е остварен од промет на клиенти кои имаат закупено деловен простор. Оперативните расходи бележат намалување во однос на истиот период претходната година.
Нова стоковна куќа АД Струмица,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидиран финансиски извештаи за 01.01-30.06
ОИЛКО КДА Скопје,Други ценовно чувствителни информации,
ОИЛКО КДА Скопје,Неревидиран биланс на успех 01.01. - 30.09.,
ОИЛКО КДА Скопје,Други ценовно чувствителни информации,.
ОИЛКО КДА Скопје,Други ценовно чувствителни информации,.
ОИЛКО КДА Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,.
ОКТА АД Скопје,Други ценовно чувствителни информации,ОКТА АД - Скопје објавува:
ОКТА АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,ОКТА АД - Скопје објавува:
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 133 акции, достигнувајќи вкупно 724,420 акции, што одговара на 85.59% од вкупниот број на акции."
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 132 акции, достигнувајќи вкупно 724,287 акции, што одговара на 85.58% од вкупниот број на акции."
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 276 акции, достигнувајќи вкупно 724,155 акции, што одговара на 85.56% од вкупниот број на акции."
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 109 акции, достигнувајќи вкупно 723,879 акции, што одговара на 85.53% од вкупниот број на акции."
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 132 акции, достигнувајќи вкупно 723,770 акции, што одговара на 85.52% од вкупниот број на акции."
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 3.208 акции, достигнувајќи вкупно 723,638 акции, што одговара на 85.5% од вкупниот број на акции. "
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 192 акции, достигнувајќи вкупно 720,430 акции, што одговара на 85.12% од вкупниот број на акции. "
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 454 акции, достигнувајќи вкупно 720,238 акции, што одговара на 85.1% од вкупниот број на акции. "
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 1.422 акции, достигнувајќи вкупно 719,784 акции, што одговара на 85.04% од вкупниот број на акции. "
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува: Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 2,070 акции, достигнувајќи вкупно 718,362 акции, што одговара на 84.88% од вкупниот број на акции.  "
ОКТА АД Скопје,Други ценовно чувствителни информации,"ОКТА АД - Скопје објавува:  Постапувајќи согласно член 38 од Правилата за котација на Македонска Берза АД Скопје, ОКТА АД- Скопје објавува дека, по соодветно известување, ЕЛ.П.ЕТ. – БАЛКАНИКИ АНОНИМИ ЕТЕРИА ПЕТРЕЛЕУ ја зголеми својата сопственост за 3,587 акции, достигнувајќи вкупно 716,292 акции, што одговара на 84.63% од вкупниот број на акции. "
